Formula,band_gap,MP ID,density,vpa,packing fraction
B5H12NO12,5.502,mp-703444,1.520650889,9.906182171,0.086327549
NaSiBO4,5.502,mp-556740,2.823274076,10.57713629,0.48886929
LiB(S2O7)2,5.51,mp-1020060,2.18270421,14.07440893,0.159028183
Na5B2P3O13,5.539,mp-557836,2.585478321,12.21638933,0.539611861
BaB8O13,5.545,mp-27794,2.922342029,11.15283436,0.301478264
NaB5(H2O5)2,5.572,mp-721294,1.774900507,11.27688651,0.206620926
CaB8H4O15,5.601,mp-23701,2.060580413,10.66580752,0.197031597
K2Sr(PO3)4,5.609,mp-558990,2.7134961,15.5148275,0.50996141
SrLi(B3O5)3,5.648,mp-18495,2.386432671,11.55740928,0.276226463
Li2B4O7,5.668,mp-4779,2.40723584,8.974013049,0.361413774
Ca2SiB2O7,5.68,mp-752851,3.212712948,10.41738511,0.527256923
Mg3B7ClO13,5.705,mp-23617,2.993304664,9.06179456,0.351151469
BaLi(B3O5)3,5.783,mp-17672,2.694822523,11.41285194,0.307087895
NaLiB4O7,5.797,mp-553926,2.451395868,9.648598998,0.429096087
CaB3HO6,5.811,mp-1194867,2.641885869,9.686153909,0.353273428
Al4(B2O5)3,5.817,mp-31408,2.810626709,9.755013738,0.253126239
Li3B5(HO5)2,5.833,mp-707105,2.233796399,8.804776911,0.34271761
BPH4NO4F,5.838,mp-1195775,2.071743857,9.539342991,0.10759031
CsBe2BO3F2,5.883,mp-553342,3.206890123,14.25316516,0.698903223
Li3B5(HO5)2,5.885,mp-707105,2.233796399,8.804776911,0.34271761
Mg3B7ClO13,5.93,mp-23617,2.993304664,9.06179456,0.351151469
Cs2Sr2Li3B3(PO4)6,5.941,mp-1019609,3.309194874,13.34945457,0.575191852
RbBe2BO3F2,6.005,mp-7323,2.814792621,13.12916682,0.59573609
KBe2BO3F2,6.052,mp-6870,2.488958456,11.4105994,0.590428707
BaAlBO3F2,6.064,mp-558491,4.479093091,12.10041,0.5799904
B(HO)3,6.08,mp-759069,1.669404147,8.786380931,0.089149762
NaBe2BO3F2,6.085,mp-556865,2.31327475,10.99238818,0.408980941
YB6(HO4)3,6.151,mp-1178731,2.676695655,9.835343735,0.235317204
Li2B6O9F2,6.27,mp-1200209,2.134281029,10.67703251,0.247284122
CaB4O7,6.317,mp-11000,3.368628286,8.02336564,0.426382147
LiB6O9F,6.351,mp-558105,2.086963708,10.98963777,0.197358655
LiB3O5,6.361,mp-3660,2.488007023,8.852253009,0.313934722
LiB(SO4)2,6.387,mp-1020106,2.183971028,13.29799729,0.194003531
Li2B3O4F3,6.573,mp-1196457,2.038013474,11.35996554,0.282038227
B2S2O9,6.695,mp-1019509,2.710548111,10.82674026,0.153931339
BHO2,7.073,mp-721851,2.430434806,7.484367498,0.148557911
SrB4O7,7.119,mp-1020670,3.258865234,10.31233667,0.405125896
LiBO2,7.183,mp-14232,2.902264913,7.116265181,0.602564978
BPO4,7.256,mp-22694,5.314087028,13.79871893,0.46595402
